;Unnamed: 0;Voltage_V;Capacity_mAh;Capacity_As;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Weight_kg;Volume_cm3;Energy_kJ;n_series;n_parallel
1431;9;14.8;103600;372960;228.1666667;9324;20535;6.72;4215.456;5519.808;1;28
1484;9;14.8;107300;386280;228.1666667;9657;20535;6.96;4366.008;5716.944;1;29
1537;9;14.8;111000;399600;228.1666667;9990;20535;7.2;4516.56;5914.08;1;30
1590;9;14.8;114700;412920;228.1666667;10323;20535;7.44;4667.112;6111.216;1;31
1643;9;14.8;118400;426240;228.1666667;10656;20535;7.68;4817.664;6308.352;1;32
1696;9;14.8;122100;439560;228.1666667;10989;20535;7.92;4968.216;6505.488;1;33
1749;9;14.8;125800;452880;228.1666667;11322;20535;8.16;5118.768;6702.624;1;34
1802;9;14.8;129500;466200;228.1666667;11655;20535;8.4;5269.32;6899.76;1;35
1855;9;14.8;133200;479520;228.1666667;11988;20535;8.64;5419.872;7096.896;1;36
1908;9;14.8;136900;492840;228.1666667;12321;20535;8.88;5570.424;7294.032;1;37
1961;9;14.8;140600;506160;228.1666667;12654;20535;9.12;5720.976;7491.168;1;38
2014;9;14.8;144300;519480;228.1666667;12987;20535;9.36;5871.528;7688.304;1;39
2067;9;14.8;148000;532800;228.1666667;13320;20535;9.6;6022.08;7885.44;1;40
2120;9;14.8;151700;546120;228.1666667;13653;20535;9.84;6172.632;8082.576;1;41
2173;9;14.8;155400;559440;228.1666667;13986;20535;10.08;6323.184;8279.712;1;42
2226;9;14.8;159100;572760;228.1666667;14319;20535;10.32;6473.736;8476.848;1;43
